Product Name,ProductId,UNSPSC,Category Name,Cust Field 1,Cust Field 2,Cust Field 3,Cust Field 4,Cust Field 5,Configurable Product
MYECLIPSE PRO EDITION PER USER WIN LICENSE 1 YEAR                               ,2611518,4323240300,Enterprise application integration software                                     ,NONE  ,,,GENUITEC                                ,1,No
MYECLIPSE STD EDITION PER USER WIN LICENSE 1 YEAR                               ,2637638,4323240300,Enterprise application integration software                                     ,NONE  ,,,GENUITEC                                ,1,No
N SOFTWARE PREMIUM SUPPORT SUBSCRIPTION (RENEWAL)                               ,2462654,4323240300,Enterprise application integration software                                     ,NONE  ,,,NSOFTWARE                               ,1,No
"NAGIOS XI UNLIMITED NODE LICENSE, 1 YEAR EMAIL SUPPORT & MAINT PLAN             ",2654579,4323340500,Device drivers or system software                                               ,NONE  ,,,NAGIOS ENTERPRISES                      ,1,No
NATI KOMPLETE 6 LP5 EDU M/W DVD 18854 5 PACK                                    ,2562761,4323210200,Graphics or photo imaging software                                              ,6,,,NATIVE INSTRUMENTS                      ,1,No
NAVICAT FOR MYSQL MAC NON-COMM EDS                                              ,2540707,4323230400,Data base management system software                                            ,NONE  ,,,NAVICAT                                 ,1,No
NAVICAT FOR MYSQL V8 WIN STD EDS                                                ,2577009,4323340500,Device drivers or system software                                               ,7.2.5 ,,,PREMIUMSOFT CYBERTECH                   ,1,No
NAVICAT PREMIUM WIN-ESD                                                         ,2539227,4323230400,Data base management system software                                            ,NONE  ,,,NAVICAT                                 ,1,No
"NCOVER 3, CLASSIC W/ SUBSCRIPTION                                               ",2636442,4323270100,Application server software                                                     ,NONE  ,,,NCOVER                                  ,1,No
NEO PRO 5.0 WIN LICENSE                                                         ,2619640,4323270200,Desktop communications software                                                 ,5,,,CAELO SOFTWARE BV                       ,1,No
NERO 11 WIN LICENSE                                                             ,2657623,4323210300,Video creation and editing software                                             ,11,,,NERO                                    ,1,No
NERO BACKITUP & BURN MINI BOX 1 USER LICENSE                                    ,2581355,4323210300,Video creation and editing software                                             ,NONE  ,,,NERO                                    ,1,No
NERO BURN EXPRESS                                                               ,2641715,4323210300,Video creation and editing software                                             ,2008,,,NERO                                    ,0,No
NESSUS DIRECT SOFTWARE ANNUAL PRO FEED SUBSCRIPTION ONE YEAR                    ,2482425,4323320300,Network security or virtual private network VPN management software             ,NONE  ,,,TENABLE NETWORK SECURITY INC            ,1,No
NET IQ MIGRATION SUITE 100-USER LICENSE PACK PREMIUM MAINT                      ,1887000,4323270100,Application server software                                                     ,NONE  ,,,NETIQ                                   ,1,No
NET NANNY LICENSE WITH 1YR SUBS WITH EMAIL AND PHONE SUPPORT                    ,2520470,4323270100,Application server software                                                     ,NONE  ,,,CONTENT WATCH                           ,6,No
NET NEW DAMEWARE NT 100-199 USER LICENSE                                        ,2605383,4323290100,Access software                                                                 ,NONE  ,,,DAMEWARE DEVELOPMENT LLC                ,1,No
NETADV F/.NET 2009 VOL1 W/SUB&SC                                                ,2531349,4323230400,Data base management system software                                            ,2009,,,FLEXERA                                 ,1,No
NETADV F/.NET 2010 VOL 1 WITH SUB AND SC                                        ,2578509,4323220200,Document management software                                                    ,2010,,,INFRAGISTICS                            ,1,No
"NETADV F/.NET 2010 VOL2 UPG W/PS,SUB&SC                                         ",2583240,4323240300,Enterprise application integration software                                     ,2010,,,INFRAGISTICS                            ,1,No
NETADV F/.NET 2010 VOL2 UPG W/SUB&SC                                            ,2583238,4323240300,Enterprise application integration software                                     ,2010,,,INFRAGISTICS                            ,1,No
NETADV F/.NET 2010 VOL2 W/SUB&SC                                                ,2584182,4323240300,Enterprise application integration software                                     ,2010,,,INFRAGISTICS                            ,1,No
NETADV F/.NET 2010 VOL2 W/SUB&SC WIN LICENSE                                    ,2586712,4323240300,Enterprise application integration software                                     ,2010,,,INFRAGISTICS                            ,1,No
NETADV F/.NET CORP SUBS RNWL W/ SUB & SC                                        ,2613717,4323230400,Data base management system software                                            ,NONE  ,,,INFRAGISTICS                            ,0,No
NETADV F/.NET CORP SUBS RNWL W/ SUB & SC                                        ,2614535,4323230400,Data base management system software                                            ,NONE  ,,,INFRAGISTICS                            ,0,No
NETADV F/.NET PRTY SPT EXT W/ SUB & SC                                          ,2554586,4323230400,Data base management system software                                            ,NONE  ,,,INFRAGISTICS                            ,1,No
NETADV F/.NET RNWL                                                              ,2483242,4323230400,Data base management system software                                            ,NONE  ,,,INFRAGISTICS                            ,0,No
NETADV F/SLVLIGHT DATA VIS 2010 VOL2 W/PS SUBS & SC                             ,2592756,4323240300,Enterprise application integration software                                     ,NONE  ,,,INFRAGISTICS                            ,1,No
NETADV F/WEB CLT 2010 VOL 1 UPG W/SUB&SC WIN LICENSE                            ,2576658,4323270100,Application server software                                                     ,2010,,,INFRAGISTICS                            ,1,No
NETADV F/WEB CLT 2010 VOL 1 W/SUB&SC WIN LICENSE                                ,2573519,4323270100,Application server software                                                     ,2010,,,INFRAGISTICS                            ,1,No
